symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-06-02 00:00:00+00:00,2421.28,2442.0,2404.2,2435.31,858105,2421.28,2442.0,2404.2,2435.31,858105,0.0,1.0
GOOG,2021-06-03 00:00:00+00:00,2404.61,2409.745,2382.83,2395.02,917291,2404.61,2409.745,2382.83,2395.02,917291,0.0,1.0
GOOG,2021-06-04 00:00:00+00:00,2451.76,2453.859,2417.77,2422.52,1297434,2451.76,2453.859,2417.77,2422.52,1297434,0.0,1.0
GOOG,2021-06-07 00:00:00+00:00,2466.09,2468.0,2441.0725,2451.32,1192453,2466.09,2468.0,2441.0725,2451.32,1192453,0.0,1.0
GOOG,2021-06-08 00:00:00+00:00,2482.85,2494.495,2468.24,2479.9,1253253,2482.85,2494.495,2468.24,2479.9,1253253,0.0,1.0
GOOG,2021-06-09 00:00:00+00:00,2491.4,2505.0,2487.33,2499.5,1006337,2491.4,2505.0,2487.33,2499.5,1006337,0.0,1.0
GOOG,2021-06-10 00:00:00+00:00,2521.6,2523.26,2494.0,2494.01,1561733,2521.6,2523.26,2494.0,2494.01,1561733,0.0,1.0
GOOG,2021-06-11 00:00:00+00:00,2513.93,2526.99,2498.29,2524.92,1262309,2513.93,2526.99,2498.29,2524.92,1262309,0.0,1.0
GOOG,2021-06-14 00:00:00+00:00,2527.04,2528.23,2500.94,2513.39,1127522,2527.04,2528.23,2500.94,2513.39,1127522,0.0,1.0
GOOG,2021-06-15 00:00:00+00:00,2520.66,2537.24,2512.97,2530.44,1109130,2520.66,2537.24,2512.97,2530.44,1109130,0.0,1.0
GOOG,2021-06-16 00:00:00+00:00,2513.93,2530.47,2482.9994,2524.95,1307168,2513.93,2530.47,2482.9994,2524.95,1307168,0.0,1.0
GOOG,2021-06-17 00:00:00+00:00,2527.42,2543.93,2510.3,2510.46,1287791,2527.42,2543.93,2510.3,2510.46,1287791,0.0,1.0
GOOG,2021-06-18 00:00:00+00:00,2511.35,2527.78,2492.06,2514.11,2665310,2511.35,2527.78,2492.06,2514.11,2665310,0.0,1.0
GOOG,2021-06-21 00:00:00+00:00,2529.1,2540.7349,2502.685,2514.8,1312826,2529.1,2540.7349,2502.685,2514.8,1312826,0.0,1.0
GOOG,2021-06-22 00:00:00+00:00,2539.99,2545.4,2520.53,2529.0,1049310,2539.99,2545.4,2520.53,2529.0,1049310,0.0,1.0
GOOG,2021-06-23 00:00:00+00:00,2529.23,2555.92,2525.04,2531.0,984658,2529.23,2555.92,2525.04,2531.0,984658,0.0,1.0
GOOG,2021-06-24 00:00:00+00:00,2545.64,2550.71,2539.2,2541.07,946662,2545.64,2550.71,2539.2,2541.07,946662,0.0,1.0
GOOG,2021-06-25 00:00:00+00:00,2539.9,2550.1,2528.88,2539.14,1674297,2539.9,2550.1,2528.88,2539.14,1674297,0.0,1.0
GOOG,2021-06-28 00:00:00+00:00,2536.39,2546.74,2519.4756,2540.0,1405543,2536.39,2546.74,2519.4756,2540.0,1405543,0.0,1.0
GOOG,2021-06-29 00:00:00+00:00,2520.37,2540.0,2508.74,2535.45,1047478,2520.37,2540.0,2508.74,2535.45,1047478,0.0,1.0
GOOG,2021-06-30 00:00:00+00:00,2506.32,2516.0,2495.15,2513.0713,1200478,2506.32,2516.0,2495.15,2513.0713,1200478,0.0,1.0
GOOG,2021-07-01 00:00:00+00:00,2527.37,2529.25,2496.995,2496.995,856230,2527.37,2529.25,2496.995,2496.995,856230,0.0,1.0
