,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,currentDate,Implied volatility,Underlying asset price,Expiration time,new_index
6875,5/19/17,122,TLT,Call,2.05,0.46,2.01,2.07,96,7353,0.50627,0.08974,0.15051,-0.02036,0.24537,2/17/17,0.09835,120.32,0.249144422,831
6877,5/19/17,124,TLT,Call,1.4,0.19,1.39,1.43,23,8604,0.36591,0.07134,0.10901,-0.02024,0.26443,2/17/17,0.10112,120.32,0.249144422,832
6888,5/19/17,121,TLT,Put,3.8,-0.59,3.65,3.8,60,57,-0.47036,0.0462,-0.10111,-0.01827,0.23223,2/17/17,0.16098,120.32,0.249144422,833
6898,6/16/17,125,TLT,Call,1.54,0.1,1.51,1.57,20,2096,0.33522,0.06755,0.13191,-0.01586,0.21807,2/17/17,0.10729,120.32,0.325804244,834
6901,6/16/17,130,TLT,Call,0.67,0.04,0.64,0.71,10,30352,0.14355,0.03413,0.05695,-0.0103,0.21264,2/17/17,0.11668,120.32,0.325804244,835
6906,6/16/17,115,TLT,Put,1.7,-0.11,1.67,1.73,514,2620,-0.2582,0.02918,-0.08698,-0.01416,0.23868,2/17/17,0.15988,120.32,0.325804244,836
6913,6/16/17,125,TLT,Put,6.8,-0.4,7,7.15,2,525,-0.57005,0.02991,-0.16573,-0.01989,0.2724,2/17/17,0.17366,120.32,0.325804244,837
6917,9/15/17,121,TLT,Call,3.92,0.07,3.9,4,1,153,0.73219,0.07324,0.49946,-0.01737,0.30085,2/17/17,0.0836,120.32,0.574948665,838
6920,9/15/17,117,TLT,Put,3.95,-0.75,3.85,3.95,6,101,-0.33893,0.02491,-0.19583,-0.01122,0.32794,2/17/17,0.1772,120.32,0.574948665,839
6927,1/19/18,123,TLT,Call,4.35,-0.75,4.25,4.45,2,861,0.63205,0.04116,0.66868,-0.0169,0.44023,2/17/17,0.08337,120.32,0.919917864,840
6935,1/19/18,119,TLT,Put,6.68,-0.22,6.65,6.75,2,1650,-0.38497,0.02231,-0.31125,-0.0085,0.41968,2/17/17,0.19237,120.32,0.919917864,841
6944,3/17/17,62,ACWI,Call,0.7,-0.19,0.6,0.9,77,5447,0.67054,0.26251,0.03155,-0.01667,0.06333,2/17/17,0.05049,62.419998,0.076659822,842
6957,2/24/17,287.5,IBB,Call,7.54,0.99,7.3,7.8,18,194,0.71595,0.03205,0.03784,-0.3445,0.15248,2/17/17,0.16671,294.350006,0.019164956,843
6967,2/24/17,280,IBB,Put,0.15,-0.35,0.05,0.2,67,97,-0.02386,0.00774,-0.0012,-0.03237,0.04074,2/17/17,0.21129,294.350006,0.019164956,844
6995,3/10/17,305,IBB,Call,1.65,-0.85,1.45,1.8,36,6,0.17973,0.02292,0.02969,-0.08906,0.19785,2/17/17,0.17831,294.350006,0.057494867,845
6999,3/17/17,280,IBB,Call,16.1,1.5,16.3,16.9,9,4489,0.7961,0.01613,0.16548,-0.14345,0.19575,2/17/17,0.18021,294.350006,0.076659822,846
7013,3/3/17,267.5,IBB,Put,0.26,-0.04,0.05,0.4,10,43,-0.01674,0.00308,-0.00165,-0.02357,0.05288,2/17/17,0.28734,294.350006,0.038329911,847
7017,3/3/17,285,IBB,Put,1.4,-0.6,1.15,1.4,58,472,-0.19321,0.02772,-0.02021,-0.10953,0.14006,2/17/17,0.20552,294.350006,0.038329911,848
7018,3/3/17,290,IBB,Put,3,-2.05,2.3,3.2,2,35,-0.36745,0.03533,-0.03612,-0.15519,0.21747,2/17/17,0.21527,294.350006,0.038329911,849
7020,3/10/17,265,IBB,Put,0.57,-1.7,0.1,0.7,10,10,-0.04281,0.00502,-0.00696,-0.04189,0.06861,2/17/17,0.29564,294.350006,0.057494867,850
7025,3/10/17,295,IBB,Put,5.8,-1.07,5.4,6.2,10,2,-0.53729,0.03573,-0.07076,-0.11098,0.27525,2/17/17,0.20752,294.350006,0.057494867,851
7032,3/17/17,295,IBB,Put,6.8,-2.87,6.6,7,7,524,-0.52559,0.03123,-0.08977,-0.09481,0.31769,2/17/17,0.21088,294.350006,0.076659822,852
7037,6/16/17,275,IBB,Call,27.64,0.96,27.3,28,14,205,0.76265,0.0089,0.63864,-0.08414,0.57926,2/17/17,0.21999,294.350006,0.325804244,853
7039,6/16/17,285,IBB,Call,20.66,0.96,20.6,21.1,56,501,0.68079,0.01215,0.58981,-0.07923,0.603,2/17/17,0.20737,294.350006,0.325804244,854
7047,6/16/17,265,IBB,Put,5.91,0.01,5.3,5.7,1,222,-0.20738,0.00672,-0.17154,-0.05789,0.57021,2/17/17,0.27957,294.350006,0.325804244,855
7058,9/15/17,300,IBB,Call,17.72,-1.51,17.6,18.8,90,91,0.54411,0.00887,0.81284,-0.07222,0.86811,2/17/17,0.20388,294.350006,0.574948665,856
7059,9/15/17,305,IBB,Call,15.9,1.7,15.3,16.4,26,14,0.49753,0.00946,0.75473,-0.06647,0.89616,2/17/17,0.21046,294.350006,0.574948665,857
7069,1/19/18,320,IBB,Call,16.16,-0.64,15.5,16.3,225,81,0.45478,0.00678,1.06701,-0.05781,1.19078,2/17/17,0.20737,294.350006,0.919917864,858
7090,3/17/17,105,JBHT,Call,0.46,0.06,0.4,0.55,2,114,0.20811,0.06978,0.01591,-0.02717,0.07975,2/17/17,0.14963,101.040001,0.076659822,859
7139,3/3/17,29.5,JD,Call,1.16,-0.25,1.16,1.22,9,35,0.59943,0.18116,0.00637,-0.03777,0.02235,2/17/17,0.40946,29.85,0.038329911,860
7144,3/10/17,28.5,JD,Call,1.99,0.58,1.9,1.96,5,15,0.73852,0.12842,0.01151,-0.0271,0.0266,2/17/17,0.4128,29.85,0.057494867,861
7145,3/10/17,29,JD,Call,1.56,0.09,1.5,1.64,100,61,0.66751,0.14222,0.01049,-0.02853,0.02699,2/17/17,0.37746,29.85,0.057494867,862
7154,3/24/17,27.5,JD,Call,2.75,-0.45,2.77,2.86,4,5,0.84874,0.08879,0.02157,-0.01367,0.02178,2/17/17,0.32755,29.85,0.095824778,863
7156,3/24/17,31,JD,Call,0.83,0.18,0.81,0.86,2,30,0.4179,0.11655,0.011,-0.02346,0.03687,2/17/17,0.34808,29.85,0.095824778,864
7164,3/17/17,28,JD,Put,0.5,0.09,0.48,0.5,488,1475,-0.25281,0.0966,-0.00512,-0.02236,0.0304,2/17/17,0.38618,29.85,0.076659822,865
7169,3/24/17,27.5,JD,Put,0.41,-0.15,0.42,0.48,10,69,-0.19257,0.08743,-0.0054,-0.01407,0.02218,2/17/17,0.35619,29.85,0.095824778,866
7174,6/16/17,32,JD,Call,1.47,-0.19,1.47,1.51,528,2400,0.43487,0.06899,0.03692,-0.01262,0.06949,2/17/17,0.32752,29.85,0.325804244,867
7185,3/17/17,21,JBLU,Put,1.25,-0.35,1.15,1.3,30,837,-0.68588,0.22404,-0.00797,-0.01097,0.02186,2/17/17,0.32934,20.110001,0.076659822,868
7189,6/16/17,21,JBLU,Call,1,0.03,1.05,1.2,19,3133,0.47349,0.11077,0.02703,-0.00827,0.04579,2/17/17,0.28312,20.110001,0.325804244,869
7190,6/16/17,22,JBLU,Call,0.75,0.09,0.75,0.85,100,6441,0.36582,0.10784,0.0213,-0.00757,0.048,2/17/17,0.30272,20.110001,0.325804244,870
7193,6/16/17,21,JBLU,Put,1.95,-0.15,1.9,2.1,10,185,-0.5348,0.10798,-0.03026,-0.00606,0.04554,2/17/17,0.34058,20.110001,0.325804244,871
7194,6/16/17,22,JBLU,Put,2.68,-0.15,2.55,2.8,28,157,-0.63636,0.10673,-0.03435,-0.00556,0.04634,2/17/17,0.36421,20.110001,0.325804244,872
